caso,threads,repeticao,t_ms,total
05-worker-leitura-suja,16,1,353.72,38800
05-worker-leitura-suja,16,1,356.14,38900
05-worker-leitura-suja,16,1,357.22,39200
05-worker-leitura-suja,16,1,360.79,39400
05-worker-leitura-suja,16,1,369.64,39500
05-worker-leitura-suja,16,1,376.99,39400
05-worker-leitura-suja,16,1,378.25,39600
05-worker-leitura-suja,16,1,378.89,39700
05-worker-leitura-suja,16,1,388.67,39600
05-worker-leitura-suja,16,1,389.95,39700
05-worker-leitura-suja,16,1,390.57,39800
05-worker-leitura-suja,16,1,401.92,39900
05-worker-leitura-suja,16,1,410.95,40000
05-worker-leitura-suja,16,1,415.19,40000
05-worker-leitura-suja,20,1,38.97,40000
05-worker-leitura-suja,20,1,249.78,39900
05-worker-leitura-suja,20,1,283.03,39800
05-worker-leitura-suja,20,1,286.91,39700
05-worker-leitura-suja,20,1,293.42,39800
05-worker-leitura-suja,20,1,296.22,39700
05-worker-leitura-suja,20,1,310.06,39600
05-worker-leitura-suja,20,1,310.52,39500
05-worker-leitura-suja,20,1,315.3,39600
05-worker-leitura-suja,20,1,318.76,39500
05-worker-leitura-suja,20,1,326.76,39400
05-worker-leitura-suja,20,1,329.26,39300
05-worker-leitura-suja,20,1,330.88,39200
05-worker-leitura-suja,20,1,332.38,39300
05-worker-leitura-suja,20,1,338.6,39200
05-worker-leitura-suja,20,1,339.33,39100
05-worker-leitura-suja,20,1,348.89,38900
05-worker-leitura-suja,20,1,353.35,38800
05-worker-leitura-suja,20,1,355.54,38900
05-worker-leitura-suja,20,1,360.85,38800
05-worker-leitura-suja,20,1,362.86,38700
05-worker-leitura-suja,20,1,364.81,38600
05-worker-leitura-suja,20,1,370.78,38700
05-worker-leitura-suja,20,1,376.32,38600
05-worker-leitura-suja,20,1,379.43,38500
05-worker-leitura-suja,20,1,380.63,38600
05-worker-leitura-suja,20,1,381.35,38700
05-worker-leitura-suja,20,1,384.69,38800
05-worker-leitura-suja,20,1,385.48,38700
05-worker-leitura-suja,20,1,388.24,38800
05-worker-leitura-suja,20,1,390.17,38700
05-worker-leitura-suja,20,1,390.98,38600
05-worker-leitura-suja,20,1,391.7,38700
05-worker-leitura-suja,20,1,392.85,38800
05-worker-leitura-suja,20,1,393.2,38900
05-worker-leitura-suja,20,1,393.52,38800
05-worker-leitura-suja,20,1,395.02,38900
05-worker-leitura-suja,20,1,396.27,38800
05-worker-leitura-suja,20,1,397.29,38600
05-worker-leitura-suja,20,1,397.59,38700
05-worker-leitura-suja,20,1,404.1,38600
05-worker-leitura-suja,20,1,404.77,38700
05-worker-leitura-suja,20,1,409.21,38800
05-worker-leitura-suja,20,1,411.16,38900
05-worker-leitura-suja,20,1,414.33,39000
05-worker-leitura-suja,20,1,415.31,39100
05-worker-leitura-suja,20,1,416.29,39200
05-worker-leitura-suja,20,1,427.55,39300
05-worker-leitura-suja,20,1,428.87,39400
05-worker-leitura-suja,20,1,437.23,39500
05-worker-leitura-suja,20,1,439.7,39600
05-worker-leitura-suja,20,1,446.11,39500
05-worker-leitura-suja,20,1,450.94,39600
05-worker-leitura-suja,20,1,452.84,39500
05-worker-leitura-suja,20,1,455.01,39300
05-worker-leitura-suja,20,1,458.72,39200
05-worker-leitura-suja,20,1,464.04,39300
05-worker-leitura-suja,20,1,464.83,39400
05-worker-leitura-suja,20,1,468.55,39300
05-worker-leitura-suja,20,1,473.4,39400
05-worker-leitura-suja,20,1,476.73,39500
05-worker-leitura-suja,20,1,476.95,39600
05-worker-leitura-suja,20,1,479.81,39700
05-worker-leitura-suja,20,1,479.94,39800
05-worker-leitura-suja,20,1,484.61,39900
05-worker-leitura-suja,20,1,485.63,40000
05-worker-leitura-suja,20,1,487.6,40000
